"id","method","method_number","method_period","method_progress_factor","rate_pct"
"asset_no_depreciation","no_depreciation","0","12","",""
"asset_3_year_linear","linear","3","12","",""
"asset_4_year_linear","linear","4","12","",""
"asset_5_year_linear","linear","5","12","",""
"asset_10_year_linear","linear","10","12","",""
"asset_20_year_linear","linear","20","12","",""
"asset_dv_40","diminishing_value","0","12","","40.0000"
"asset_dv_30","diminishing_value","0","12","","30.0000"
"asset_dv_20","diminishing_value","0","12","","20.0000"
"asset_dv_15","diminishing_value","0","12","","15.0000"
"asset_dv_10","diminishing_value","0","12","","10.0000"
"asset_dv_5","diminishing_value","0","12","","5.0000"
